text	label
Isikhulu sichaza ngokuxoshwa kwaso kwelePSL	Ezemidlalo
UMboweni umelwe wumqansa wokwenza izwe lithembeke	Imibono
Imfihlo ngoNtshangase kwiChiefs	Ezemidlalo
URalani uxwayisa ngokuqiniswa konyawo	Ezemidlalo
Ushone elindwe wumsebenzi umlingisi	Ezokungcebeleka
UThandeka ukhuza ibuya kwezokulingisa ngeHostela	Ezokungcebeleka
IChiefs isiphumele obala ngoweStars	Ezemidlalo
OwoSuthu uvule amaphakethe ngabadlali abazofunwa uMcCarthy	Ezemidlalo
Uzicelele ukukhululwa uBartlett kwiGalaxy	Ezemidlalo
Osindisiwe ulingisa eyokuba ngumqwayizi	Ezokungcebeleka
USuthu luhlomele injabulo ezayo	Ezemidlalo
Kushiye omunye umlingisi kuZalo	Ezokungcebeleka
Usinde kukubi ebanjwe yiCovid-19	Ezokungcebeleka
IDurban Gen isayibambe ngakho kodwa...	Ezokungcebeleka
Inkantolo igunyaze ukuboshwa kukaMampintsha noBabes Wodumo	Ezokungcebeleka
Abapheze ukugwazisa kolayini aboMnyango wezaseKhaya	Imibono
Kuyambhedela uR. Kelly	Ezokungcebeleka
Ngeke ngihlukane noRingo: Sne	Ezokungcebeleka
UMaster KG ubonge abalandeli ehlabana ngeye-MTV	Ezokungcebeleka
UHunt usanethemba ngesicoco	Ezemidlalo
Olunye udume kwiChiefs kulimala isibabuli	Ezemidlalo
UBabes uchaza ngevideo abonakale kuyo ekhala ubumayemaye ebanjwe amaphoyisa	Ezokungcebeleka
OwoSuthu uzolwela indawo kwelesizwe	Ezemidlalo
UCassper usehlela ukugcwalisa iMabhida	Ezokungcebeleka
UDanny Glover nesexwayiso kubenzi bamafilimu baseMzansi	Ezokungcebeleka
IChiefs ixwayisa umphakathi ngabaqola ngegama layo	Ezemidlalo
ITheku lizosingatha ingqungquthela yeForbes	Intandokazi
AbeBucs nelinye ithambo lokugiya	Ezemidlalo
Ukuphindile lokho uCaster	Ezemidlalo
Selukubameli olukaSomizi  noMohale	Ezokungcebeleka
[IMIBONO] Bengifisa ake ahlupheke u-Eymael	Ezemidlalo
‘Asiqondi ukuthi sisale kanjani kwi-Afcon’	Ezemidlalo
IChiefs igaqele owaduma kwiBucs	Ezemidlalo
UBrooke weBold uzobonakala kwiSidingo	Ezokungcebeleka
I-Japan iziwolele amaphuzu amathathu kwiColombia	Ezemidlalo
Abedokwe lendlala benza umsebenzi wethongo udicileke phansi	Imibono
Uphrojusa kaDuncan uphawulwa ngokuchithwa kweSikelela kwiYFM	Ezokungcebeleka
Usike ukhasi uKgatlana kowe-CAF	Ezemidlalo
Iwole izindondo ezinhlanu iThe River	Ezokungcebeleka
Ihobeleni Inkatha ngodaba lukadoti eThekwini?	Imibono
Ukushiya kukaMhlongo kunika uMpontshane ithuba	Ezemidlalo
IGalaxy yandisele umqeqeshi weSwallows izinkinga	Ezemidlalo
Wayebalekela ukuwasha izitsha ngebhola oweBanyana	Ezemidlalo
IPirates ivule igebe esicongweni se-log	Ezemidlalo
OweMbewu ukhulelise uzakwabo	Ezokungcebeleka
Ushiye isigubhukane oweSA FM	Ezokungcebeleka
U-Da Gama ugxeka indlela obekuphethwe ngayo iPlatinum	Ezemidlalo
UManyama ubalisa ngesikweleti seChiefs	Ezemidlalo
Asiwuboni umsebenzi owenziwa yiNkatha eNquthu	Imibono
Uzojabulisa abalandeli   ngama-video ezingoma zakhe	Ezokungcebeleka
UMaMkhize uchitha eyokugxambukela othandweni luka-Andile noSithelo	Ezokungcebeleka
UProfessor ucikwa ukushaywa ngesithende	Ezokungcebeleka
ISharks izinuka amakhwapha ngokuhlulwa kulandelana	Ezemidlalo
Ingwazi yeBafana ibanike ithuba kwiPSL	Ezemidlalo
Izinguquko zeMini Countryman ziyenza ihehe	Ezezimoto
Kusemahlombe ethu ukufukula iqembu – Mutizwa	Ezemidlalo
OweKings ubonga ngokwesekwa	Ezemidlalo
Ngane yami, uyimpendulo yemithandazo kagogo	Ezokungcebeleka
Ubamba izigelekeqe esemoyeni uKabini	Intandokazi
I-Arrows isibambe umoya ngePolokwane	Ezemidlalo
AmaTuks azogadla ngowaduma kwiChiefs	Ezemidlalo
Akasadlaliswa ofunwa yiPirates neSundowns	Ezemidlalo
‘Sizolwa kuze kube sekugcineni’	Ezemidlalo
Uyancomeka umsebenzi kaMthiyane kwiGagasi	Imibono
Baxhase owesifazane onepulazi	Intandokazi
I-Arrows ishovele iFree State obishini	Ezemidlalo
Uhubhuza amanga uMbali: Black Coffee	Ezokungcebeleka
Udalule isehlo sokudlwengulwa owoKhozi	Ezokungcebeleka
U-Sis J usebhala izingoma zikamaskandi	Ezokungcebeleka
AmaZulu neDowns baqhathiwe kweyeCaf	Ezemidlalo
Ziyanda izinhlelo zaphesheya eziza kuleli	Ezokungcebeleka
Kuhlelwe umcimbi ozohlomisa intsha ngolwazi eludingayo	Ezokungcebeleka
Kuminciwe uTau elimala kuyiwa kwi-Afcon	Ezemidlalo
USomizi udalula imfihlo ngezifo ezimhlasele	Ezokungcebeleka
Ukhwele wadilika uMcG kwabagxeka uhlelo lwakhe	Ezokungcebeleka
Izoboshelwa izacile kwiWits ibhekene neDowns	Ezemidlalo
UMessi uthubeni lokuqeda ishobolo lokudla  izicoco	Ezemidlalo
OweRoyal AM uzishaya isifuba ngokuphinda Amakhosi	Ezemidlalo
Imfundo yethu kumele ibe nobunkipha bukoloni	Imibono
IChiefs izolwela igoli eMorocco	Ezemidlalo
Ukhale ngabadlali abalimele kudliwa iqembu lakhe	Ezemidlalo
Uzofihlwa ngempelasonto uMenzi	Ezokungcebeleka
UKekana uchazwa wukuzinikela kukaBilliat	Ezemidlalo
OweBafana uthole iqembu elisha eDenmark	Ezemidlalo
‘IReal Kings isidayiselwe u-Andile Mpisane’	Ezemidlalo
USilva ukhwele wadilika kuPitso	Ezemidlalo
Uzoba nohlelo lwakhe lokupheka kwiTV	Ezokungcebeleka
IPirates isithembe ukuvuka ngoSuthu	Ezemidlalo
Ifilimu entsha yakuleli kwiNetflix	Ezokungcebeleka
UNowa naye bamhleka bethi ugugile ebaxwayisa	Imibono
'IChiefs izoqhubeka nokuba yithofi kowomkhaya baseSoweto'	Ezemidlalo
Kuvalwa izitolo zomculo iMusica	Ezokungcebeleka
UNtseki uselinde uhulumeni ukumemezela eseBafana	Ezemidlalo
Awucaci kahle umnyakazo owenziwe nguKomphela	Imibono
Ubematasa nohlelo olusha lwethelevishini owaduma kuKhozi FM	Ezokungcebeleka
Ibohlololo koweBucs neDowns	Ezemidlalo
Isinohlelo kwiVuma ingoduso kaZuma	Ezokungcebeleka
Ubuyisa ithemba ngengoma uMtee	Ezokungcebeleka
I-TUT inciphise igebe leSundowns Ladies kwi-Super League	Ezemidlalo
‘UZweli’ usesishiya unomphela Isibaya	Ezokungcebeleka
IPirates ihluleke wukunqoba izitha zingasaphelele	Ezemidlalo
UTovey utusa umlando wabakuleli kwesokuqeqesha iBafana	Ezemidlalo
USindi Dlathu usengumdidiyeli	Ezokungcebeleka
UKhuzani noNgizwe babanga ububi	Ezokungcebeleka
Usizwe abalandeli etinyelwa kuTwitter uMiss SA	Ezokungcebeleka
ISundowns isibheke amagalelo kaSirino	Ezemidlalo
Ushintshe isigqi somculo uBlack Coffee	Ezokungcebeleka
UDolly ubheke eminye imiklomelo eNaturena	Ezemidlalo
Unengwe yisenzo sesitobha sakhe	Ezemidlalo
Ungene kowamapiano umlingisi weThe Queen	Ezokungcebeleka
Igazi lomuntu liyakhala emhlabathini	Imibono
Abamele iKZN kokaMiss Empress SA	Intandokazi
Bathembisa ulozolo kwiFamily Secrets	Ezokungcebeleka
Akuphele ngokuhlukunyezwa kwabantu besifazane	Imibono
Singase sivalwe yisibabuli somgadli esikaCastro kwiDowns	Ezemidlalo
UBen 10 wenza into yamehlo kwi-Amiens	Ezemidlalo
Amathiphu okudweba amashiya ukuze abukeke ngendlela efanele	Ezokungcebeleka
Wenzelwe iphathi engazi uDJ Happy Gal	Ezokungcebeleka
Ezothando: Nasemjolweni kukhona labo esingabalokothi	Ezokungcebeleka
OweCameroon akawuvali umlomo bebuya nethusi	Ezemidlalo
Sekuqubuke umsindo ngemali yeGobisiqolo	Ezokungcebeleka
UMiddendorp akaliphonsile ithawula ngokuvika izembe	Ezemidlalo
UMasutha ubalisa ngokujika nelanga engasebenzi	Ezemidlalo
Uhlabane ngomsebenzi kwiCeltic uKomphela	Ezemidlalo
Ukuzala kakhulu yikho okubangela indlala ezweni	Imibono
UHunt uzifake emlandweni enqoba iTelkom eMagogo	Ezemidlalo
UPitso ukhale ngabadlali abalimele	Ezemidlalo
[IMIBONO]Udayiswe abaphathi bakhe abathanda imali uFadlu Davids	Ezemidlalo
UsekwiGomora ozakhele igama kuZalo	Ezokungcebeleka
I-Bucs izoqeda ukhondolo lwendawo yesibili	Ezemidlalo
Uthole inkontileka kwiTeam of Choice	Ezemidlalo
Ingqayizivele yethuba kuCream	Ezemidlalo
‘Izimo ezinzima zikwenza uqine’	Intandokazi
Kutholane phezulu uKhuzani neGcokama emcimbini	Ezokungcebeleka
Ziyawushaya kuKelly Khumalo nomrepha?	Ezokungcebeleka
UNdlovu ubelwela abekholwaukuthi kungokwakhe	Imibono
'Akukhona esiteji la' - iMantshi kuTipcee	Ezokungcebeleka
Kwehle izikhulu eGoli ngezinkinga zoKhozi	Ezokungcebeleka
Okuhloswe wuSihlalo webhodi  loMgeni Water	Intandokazi
Kuzovovana inkani amaciko  kowokuqhakambisa amasiko	Ezokungcebeleka
ISafa nezinhlelo ngazonyukela kwiGladAfrica	Ezemidlalo
OweBanyana uchaza ngesinqumo sokuqoka elaseChina	Ezemidlalo
Ufuna ukukhula ekulingiseni oshiya kwiGenerations	Ezokungcebeleka
UNgcobo ugabe ngamava asekuhambeni emdlalweni weSimba	Ezemidlalo
’Nami uJub Jub wangidlwengula’ - Masechaba	Ezokungcebeleka
Abantu kufanele bayisabe into okuthiwa wukuthwasa	Imibono
Amandla e-Audi SQ7 ayenza ihambe kalula	Ezezimoto
IMoja Love ichithe uYaya ngenxa yempakamo	Ezokungcebeleka
Uchithe amahlebezi elobolo likaR1mln	Ezokungcebeleka
Ithuba laphesheya kubadlali boSuthu	Ezemidlalo
ULunga uyakweshwama ukumataniswa neSundowns	Ezemidlalo
Ufisa ukukhula emkhakheni wezindaba uMancane	Ezokungcebeleka
Unqotshwe isifo sikashukela uMshoza	Ezokungcebeleka
Usomabhizinisi ukhala ezimathonsi ngokushona ngokuzuma kukaMshoza	Ezokungcebeleka
Ibuya ngonyawo olusha iBlood and Water	Ezokungcebeleka
Ziphoselwe kwiGladAfrica kwethulwa umacekeceke ohamba nezigidi	Ezemidlalo
Isibonakala kwi-Generations intokazi esencane	Ezokungcebeleka
UNgcongca ubona umqansa ngeCAF	Ezemidlalo
Kuzohlonishwa Ihhashelimhlophe kumaSapma	Ezokungcebeleka
Kulamule uPogba iFrance iguqisa i-Australia ebibathwalise kanzima	Ezemidlalo
Libuyile ithemba kwiPirates ebheke kwiConfed Cup	Ezemidlalo
Usebenzisa ithalente lakhe ongenasandla	Ezokungcebeleka
Ezothando: Kubathatha isikhathi esingakanani abesifazane ukufinyelela kuvuthondaba?	Ezokungcebeleka
UMotaung akanavalo ngoCastro	Ezemidlalo
Kumnyama ngonozinti waseKZN kweZimnyama	Ezemidlalo
Musani ukudlala ngathi sidinga usizo ngokushesha	Imibono
Injini yoSuthu isiwubheke ngabomvu oweMazembe yodumo kwiCaf	Ezemidlalo
‘UKhenyeza uxoshwe yinkece kwiMaritzburg’	Ezemidlalo
UDuncan uzwakalise ukushaqeka umsakazo uchitha iSikelela	Ezokungcebeleka
Ingene ehlazweni inkakha yeshashalazi 'ikhulelisa' intombi	Ezokungcebeleka
Ukhala ngenkohlakalo kumaSAMA umrepha	Ezokungcebeleka
Izoqhathwa ngoLwesibili iBafana kweyokuhlungela iWorld Cup	Ezemidlalo
Ikhefu elibalulekile kuTinkler neqembu aliphekayo	Ezemidlalo
Kuqhubeka izinhlelo ngefilimu kaMaBrrr ebivinjwa	Ezokungcebeleka
Akawazi umnyango wesonto uManyama	Ezemidlalo
UHunt enkingeni yabadlali abasha	Ezemidlalo
IChippa isinomqeqeshi omusha	Ezemidlalo
Kugqame isidingo seVAR iDowns ibuyisa umgqigqo	Ezemidlalo
Ukuvalwa kwezwe kumvulele amathuba	Ezokungcebeleka
Owelesizwe ufike wadidwa wulwimi eqenjini elisha	Ezemidlalo
UBaxter utusa uTau ngokumelana nezingqinamba	Ezemidlalo
U-Emtee useyishiyile i-Ambitiouz Entertainment	Ezokungcebeleka
Bathukile kudlula emhlabeni uDJ osafufusa	Ezokungcebeleka
Udalula okumenze washiya i-ECR	Ezokungcebeleka
Osomathuba kabayekele ukuthembisa ngomhlaba ongekho	Imibono
Ukhale ngokulimala kwezethenjwa uLarsen	Ezemidlalo
Umbhobho woKhozi FM usuyimali kubaculi	Ezokungcebeleka
Izindaba ezimnandi ngoWayde	Ezemidlalo
Uyakhula kwezamabhizinisi osebenza ngezandla	Intandokazi
Kumele ziphunyuzwe izinkophe zokufakelwa	Intandokazi
Injabulo uKwesta ebopha ifindo lomshado	Ezokungcebeleka
Babambe umoya ngesinqumo ngamaSevens	Ezemidlalo
AmaBlitzbokke abheke ukuqhubeka nomgqigqo	Ezemidlalo
Usesibhedlela umdlali weChiefs	Ezemidlalo
Kusolwa ubunqonqela kusihlalo ngokubuya kukaNgema kwiChippa	Ezemidlalo
Isikhalo sabalaleli ngeZwi LoMzansi	Ezokungcebeleka
IDowns iqinise umbango nge-Arrows	Ezemidlalo
Umdlalo wakuleli uqophe umlando e-USA	Ezokungcebeleka
Ibuya nomculo omusha iDestruction Boyz	Ezokungcebeleka
ISharks ifuna ukubuyisa isithunzi e-Australia	Ezemidlalo
Uvuma izinsizwa ezimnyama kwikhilikithi	Ezemidlalo
Bamincile ngesinqumo sePSL ngolweThanda	Ezemidlalo
Izinguquko kwiVW Tiguan	Ezezimoto
Isexwayiso ngogwayi iHubbly Bubbly	Ezokungcebeleka
Injabulo ngendawo ephambili efilimini	Ezokungcebeleka
Ubungoma abumvimbi ekuculeni amapiano	Ezokungcebeleka
Umaskanda uhleka usulu eyokuthwala	Ezokungcebeleka
Bazikhalele kuhulumeni kungcwatshwa uMenzi	Ezokungcebeleka
IBafana isahamba kahle endleleni ebheke kweyoMhlaba eQatar	Ezemidlalo
OwamaProteas uyazigqaja ngokuhlabana	Ezemidlalo
UBabes ucacisa ngoBrilliant Khuzwayo	Ezokungcebeleka
Akuqiniswe ezokuphepha emanyuvesi	Imibono
Kugxekwa inyanga ‘ewinise’ uMroza	Ezokungcebeleka
Okusize iChiefs yathola uNgcobo weZinyoni	Ezemidlalo
Ukuqhuzuka kwe-Arrows ayiboni  kuzoyikhipha ekungeneni kwiTop 8	Ezemidlalo
Kufezeke iphupho kuDJ engena kuKhozi FM	Ezokungcebeleka
Usathuthumela uvalo uDJ odunwe imoto	Ezokungcebeleka
UKhuzani uzobonakala eHostela eziqeshini ezintsha zalo mdlalo	Ezokungcebeleka
Ukhiphe umucu umlingisi weSibaya	Ezokungcebeleka
'Umculo uyangiphilisa'	Ezokungcebeleka
Kubuya abebelimele kwi-Arrows	Ezemidlalo
Ayikho ezithebeni eyokufunwa kukaSithebe yiDowns	Ezemidlalo
UYeye akazimisele ngokuwaphanyeka	Ezemidlalo
Uqale kahle unyaka embonini yezimoto	Ezezimoto
Kubaqinisela uthando lwabo ukusebenza ndawonye	Ezokungcebeleka
Kuzohlonishwa ingqalabutho yomculo wokholo kumaSama	Ezokungcebeleka
Badumele kuhoxa umculi kuma-Idols	Ezokungcebeleka
Asefuna idivosi amawele ashada nomyeni oyedwa	Ezokungcebeleka
Umsakazi uthi akaziboni eshada nonengane yomunye umuntu	Ezokungcebeleka
OweGomora usethi khumu ekulingiseni	Ezokungcebeleka
Uthembisa lukhulu okhiphe iDomoroza	Ezokungcebeleka
Ikhuza ibuya iCurrie Cup kule mpelasonto	Ezemidlalo
Usola abagxambukela ebudlelwaneni bakhe uLaChonco	Ezokungcebeleka
Uyancomeka umsebenzi wezomphakathi	Ezokungcebeleka
Umbango wobuholi udicilela phansi isithunzi sobuNazaretha	Imibono
IChiefs neDowns empini yesibabuli somgadli	Ezemidlalo
Uzomiswa isonto uPhat Joe	Ezokungcebeleka
UMatlaba ukhethe iLeopards	Ezemidlalo
Bajabulela ukuqala namaqembu anzima	Ezemidlalo
‘Angiyibhekise kumuntu ingoma’	Ezokungcebeleka
Banethalente elikhulu  abemisakazo yomphakathi	Ezokungcebeleka
Luzolwela ukubuyisa isithunzi uSuthu	Ezemidlalo
UmkaNcwane uchaza ngokubhala incwadi ngempilo yabo	Intandokazi
Ukudayiselana kweThanda noSuthu sekukuPSL	Ezemidlalo
I First Man ngeyabathanda ukwazi ngomhlaba	Ezokungcebeleka
USthandwa uzobonakala kwiDurban Gen	Ezokungcebeleka
UZimdollar uzobhekana nodadewabo kaNgizwe enkantolo	Ezokungcebeleka
Uqinisa idolo uzakwabo oweBucs	Ezemidlalo
Umlingisi uziveze enqunu washubisa umdlalo	Ezokungcebeleka
Asenziwa ngenye indlela ama-baby shower	Intandokazi
Abantu bazojabula besezimotweni	Ezokungcebeleka
Sizophonselwa inselelo isinqumo esibandlulula uCaster Semenya	Ezemidlalo
Uxwayisa ngesimo semidlalo esingajwayelekile	Ezemidlalo
Zimhambela kahle uGogo Skhotheni	Ezokungcebeleka
Uya enkantolo umqeqeshi weSharks ngemali	Ezemidlalo
IPirates isayinisa ingenamqeqeshi	Ezemidlalo
Bazovela enkantolo oBabes noTipcee	Ezokungcebeleka
I-Maritzburg izicabele indlela iphumelela	Ezemidlalo
Usidayisile isizwe Magaye, walahla nomsamo wakho	Imibono
Uphupha ngePirates owe-Arrows	Ezemidlalo
Udonsa kanzima ejezini owaduma kwiBafana	Ezemidlalo
UMakhadzi uqokwe okokuqala kowezindondo	Ezokungcebeleka
ULondi London uzimisele ngokukhulu kwithelevishini	Ezokungcebeleka
Kuzohlonishwa amaciko aKwaZulu-Natal	Ezokungcebeleka
Abantu bafuna udumo ngokuphawula ngoZuma	Imibono
UKhuzani uhlonipha iSilo ngeculo eligqugquzela imfundo	Ezokungcebeleka
UTinkler uzishaya isifuba ngakwenzele iChippa United	Ezemidlalo
USangweni ujabule ebuyela kwiDStv Premiership	Ezemidlalo
Abagijimi benzelwe phansi wumdonsiswano	Ezemidlalo
USono ’uzobulala’ kwasani ngabadlali abasha	Ezemidlalo
Kukhunjulwe uMandoza ngosuku lwakhe lokuzalwa	Ezokungcebeleka
Amaciko abopha iSABC ngesikweletu somculo	Ezokungcebeleka
Buka: UZodwa Wabantu uhlinzwe odokotela 'evuselela' inanazi	Ezokungcebeleka
Usaphupha ngokusinda ezembeni owePolokwane	Ezemidlalo
Iqembu le-netball liwuvule kahle owase-Afrika	Ezemidlalo
UKhumalo ufuna ukuvala iComrades ngegolide	Ezemidlalo
'UMabena ukhuliseabasakazi abaningi'	Ezokungcebeleka
Kuzosiphuka izidindi  koweDowns ne-Al Hilal	Ezemidlalo
UNaima Kay ufuna ukuya kude nomculo wakhe	Ezokungcebeleka
Iyavuthwa ekaZimdollar ebheke esithenjini	Ezokungcebeleka
I-SABC icacisa ngezinsolo ze-payola	Ezokungcebeleka
ULarsen ufuna babuyise izinduku	Ezemidlalo
IPirates ngeke ilibone elidlalayo kwiSiwelele, kusho uTsutsulupa	Ezemidlalo
USkolopad uthembise ukuyeka ukubhushuzela uma ningenza lokhu...	Ezokungcebeleka
Usazimisele ngomcimbi wokugcwalisa iMabhida	Ezokungcebeleka
Bathi izwi likaPitso ngeke liwele phansi	Ezemidlalo
IGagasi FM nemigubho yeminyaka engu-15	Ezokungcebeleka
Zimhambela kahle oweFreshlyground	Ezokungcebeleka
U-Hunt ubonge abesebenza nabo kwiWits	Ezemidlalo
ISafa ivule izandla ekusingatheni i-Afcon	Ezemidlalo
I-BMW 4 Series Coupe iyagqama	Ezezimoto
UMseleku uxwayisa  abantu  ngemali	Ezokungcebeleka
UKumalo ulibona limfiliba ithuba lokuqokwa kwiBafana	Ezemidlalo
UKomphela uvuse abeDowns ngomkhuleko	Ezemidlalo
Uzizwa ezelwe kabusha ngethuba lokuphinde adlale	Ezemidlalo
UNtseki uqoka abadlali afunzwabona ngabanye abantu	Imibono
‘Kumele sithole wonke amaphuzu emidlalo esele’	Ezemidlalo
Uxwayisa awe-PSL ngeSundowns	Ezemidlalo
Izimanga zikaTau eBelgium zizosiza iBafana e-Egypt	Ezemidlalo
UMchunu weSharks ulambele ijezi lamaBhokobhoko	Ezemidlalo
Umshushisi ozoqashwa yiPSL uzofica inqwaba yamacala angaphelile	Ezemidlalo
IChiefs ibuyele ekhaya ishwiba izandla	Ezemidlalo
EZEMISAKAZO: Kuhle okwenziwe uMo noMasechaba, kodwa...	Ezokungcebeleka
UMicho akabasoli abadlali bakhe	Ezemidlalo
Waqala ngoR1 200 osenenkampani ekhiqiza izinto zokuhlanza	Intandokazi
Akafuni ukucacisa ngokulungela eyokusonga iligi	Ezemidlalo
Kuyasixaka lokhu okwenzeka manje kwi-ANC	Imibono
Imenenja kaMlindo isola uDJ Maphorisa ngobuqili	Ezokungcebeleka
Ubesemanqika ukulingisa owoZalo	Ezokungcebeleka
Kugwazwe kwabulawa ibhokisa laseKZN	Ezemidlalo
UJohnson akumkhathazi ukuthi kunabamsongelayo	Ezemidlalo
Uthathe isicoco emncintiswaneni wokupheka	Intandokazi
Uthembisa lukhulu umqeqeshi weChiefs	Ezemidlalo
Sicela ama-laptop ne-data esathenjiswa kona emaTVET College	Imibono
Luthuthela kuMzansi Magic uhlelo lukaPhat Joe	Ezokungcebeleka
Kumele siwuwine lo mdlalo - Mbambo	Ezemidlalo
Ungowesifazane wokuqala ezindizeni zempi	Intandokazi
Kugqame abaseKZN kumaSama	Ezokungcebeleka
UNcikazi unethemba lokuqokwa  kwabakhe kwiBafana	Ezemidlalo
Inkulumo kaKhumalo ilumele kwiBaroka	Ezemidlalo
Bazoshiyelana inkundla noWizkid abakuleli	Ezokungcebeleka
IBucs izongena koweMTN8 iphekekile	Ezemidlalo
Umlingisi ucacisa ngezinsolo zokuhlukumeza uzakwabo ngocansi emdlalweni	Ezokungcebeleka
UZuma uthi impi izoba senkabeni yenkundla koweMTN8	Ezemidlalo
OwoSuthu usenethemba lokunqoba iMazembe	Ezemidlalo
U-Ekstein obemataniswa neBucs uvumbuke e-Europe	Ezemidlalo
UHunt ukhala ngokulinyalelwa nayizethenjwa	Ezemidlalo
Kuhlonishwa olwela abanebala elimhlophe	Ezokungcebeleka
IPremier Soccer League izokhokha izikweletu zanyakenye	Ezemidlalo
I-Wits iphuce iChiefs iqatha emlonyeni	Ezemidlalo
Ukhihla isililo ngokushiya kukaMoeneeb  kwiWits	Ezemidlalo
UDJ unxusa uhulumeni ukuthi alekelele amaciko	Ezokungcebeleka
Izinongo koweChiefs neCeltic	Ezemidlalo
Ifilimu ngokuhlukunyezwa kwembokodo eJohn Voster	Intandokazi
UZodwa Wabantu uhlanyiswa yisoka elisha	Ezokungcebeleka
Kuyaphela ngohlelo lukaKelly	Ezokungcebeleka
UZinnbauer usola abadlali ngokuzongela oweCity	Ezemidlalo
Owaduma kwiTsotsi uthembisa lukhulu oluza neThe River	Ezokungcebeleka
UMngqithi noMokwena bazobambisana kwiDowns	Ezemidlalo
Injabulo uBenni enqoba isicoco sakhe sokuqala	Ezemidlalo
Bahlukene phakathi ngesenzo sikaDJ Sbu ekhangisa iMoFaya	Ezokungcebeleka
UDladla ugaqelwe yiPirates	Ezemidlalo
IChiefs ikhombe indlela obengumqondisi	Ezemidlalo
USomizi unqatshelwe ukuya eZambia	Ezokungcebeleka
Uqola abantu esebenzisa igama leqembu	Ezemidlalo
Bagqoke izingubo behlonipha uDkt Sindi Van Zyl	Ezokungcebeleka
USal ukhule limthwalisa kanzima igama likaMasekela	Ezokungcebeleka
UTau uthushuke lapho engalindelwe khona	Ezemidlalo
Lungene kwelinye iqophelo olukaBuhle Mkhwanazi ongadlali	Ezemidlalo
UNcikazi ujabulela ukuqashwa kukaKhenyeza abe yiphini lomqeqeshi	Ezemidlalo
IBlaq Diamond iwine indondo eNigeria	Ezokungcebeleka
IMIBONO: UKhuzani makayeke ukunaka amavukana	Ezokungcebeleka
ULebese nesifiso sokujabulisa i-United ithole amaphuzu	Ezemidlalo
Ulengela eweni umshado wabokholo	Ezokungcebeleka
IMercedes-Benz ingenisa ngezikagesi kuleli	Ezezimoto
UCassper ulobole isingqazu saseThekwini	Ezokungcebeleka
Bazidonsele amanzi ngomsele bezibiza ngoBonnie & Clyde	Ezokungcebeleka
Isethembiso sikaMicho ngezindebe	Ezemidlalo
Bamjikijele ngebhodlela likabhiya enandisa uTira	Ezokungcebeleka
Iyinyama kubathengi iVW Polo Vivo	Ezezimoto
